Original Url,Similar Urls
https://infonet.fr/actualite/acquisitions/orisha-rachete-must-informatique/,"['https://infonet.fr/actualite/acquisitions/acquisition-hybridsoftware-quadraxis/', 'https://infonet.fr/actualite/acquisitions/cheque-dejeuner-le-groupe-up-achete-la-start-up-leeto/', 'https://infonet.fr/actualite/acquisitions/dl-software-reprend-openbravo/', 'https://infonet.fr/actualite/acquisitions/rachat-retraitecom-par-eres/', 'https://infonet.fr/actualite/acquisitions/groupe-positive-achete-signitic/']"
https://infonet.fr/actualite/levees-de-fonds/smartphones-reconditionnes-pixmania-levee-de-fonds/,"['https://infonet.fr/actualite/levees-de-fonds/gaya-financement/', 'https://infonet.fr/actualite/levees-de-fonds/lancement-campagne-financement-kahe-nautic/', 'https://infonet.fr/actualite/levees-de-fonds/levee-de-fonds-axibio/', 'https://infonet.fr/actualite/levees-de-fonds/levee-de-fonds-mirakl/', 'https://infonet.fr/actualite/levees-de-fonds/levee-de-fonds-pimpup/']"
https://infonet.fr/actualite/levees-de-fonds/levee-de-fonds-cognyx/,"['https://infonet.fr/actualite/levees-de-fonds/virgil-financement-immobilier/', 'https://infonet.fr/actualite/levees-de-fonds/purecontrol-tour-de-table-7-millions-deuros/', 'https://infonet.fr/actualite/levees-de-fonds/evaneos-levee-de-fonds/', 'https://infonet.fr/actualite/levees-de-fonds/levee-de-fonds-tom-et-josette/', 'https://infonet.fr/actualite/levees-de-fonds/zama-tour-de-table/']"
https://infonet.fr/actualite/general/lithium-france-transition-energetique/,"['https://infonet.fr/actualite/acquisitions/partenariat-signe-entre-gaussin-et-lhyfe/', 'https://infonet.fr/actualite/acquisitions/projet-autend-ia-centrales-nucleaires/', 'https://infonet.fr/actualite/acquisitions/centrale-nucleaire-republique-tcheque-france-etats-unis-aide/', 'https://infonet.fr/actualite/acquisitions/le-sante-au-coeur-dune-alliance-prometteuse-en-france/', 'https://infonet.fr/actualite/general/hydrogene-vert-association-france-inde/']"
https://infonet.fr/actualite/general/gibert-jeune-saint-denis-fermeture/,"['https://infonet.fr/actualite/evenements/ledition-vivatech-2021-ouvre-ses-portes-a-paris/', 'https://infonet.fr/actualite/entrepreneuriat/un-incubateur-dentreprises-a-epinay-sur-seine/', 'https://infonet.fr/actualite/levees-de-fonds/sopht-nouveau-tour-de-table/', 'https://infonet.fr/actualite/levees-de-fonds/logement-colibree-intergeneration-leve-610-000-euros/', 'https://infonet.fr/actualite/acquisitions/paris-2024-signe-avec-le-groupe-fnac-darty/']"
https://infonet.fr/actualite/levees-de-fonds/tour-de-table-enalees/,"['https://infonet.fr/actualite/levees-de-fonds/linkinvax-biotech-financement/', 'https://infonet.fr/actualite/levees-de-fonds/4ppharma-pharmaceutique/', 'https://infonet.fr/actualite/levees-de-fonds/biloba-leve-14-million-deuros-pour-developper-la-teleconsultation-pediatrique/', 'https://infonet.fr/actualite/levees-de-fonds/biotech-bforcure-elargir-panel-depistage-rapide/', 'https://infonet.fr/actualite/levees-de-fonds/enyo-pharma-financement/']"
https://infonet.fr/actualite/entrepreneuriat/appel-candidatures-concours-innovation-outre-mer/,"['https://infonet.fr/actualite/entrepreneuriat/concours-pour-entreprises-colmar/', 'https://infonet.fr/actualite/entrepreneuriat/off7-accelerateur-startups-appel-candidatures/', 'https://infonet.fr/actualite/entrepreneuriat/technopole-aube-champagne-incubateur/', 'https://infonet.fr/actualite/entrepreneuriat/start-innovation-business-awards-candidatures-jusquau-31-octobre/', 'https://infonet.fr/actualite/entrepreneuriat/ouverture-de-la-9eme-edition-du-concours-dinnovation-i-nov/']"
https://infonet.fr/actualite/levees-de-fonds/hr-path-importante-levee-de-fonds/,"['https://infonet.fr/actualite/levees-de-fonds/nouveau-financement-pour-ecodair/', 'https://infonet.fr/actualite/levees-de-fonds/spayr-premier-financement/', 'https://infonet.fr/actualite/levees-de-fonds/financement-batis-pour-recruter/', 'https://infonet.fr/actualite/levees-de-fonds/brigad-developpement-plateforme-tour-de-table/', 'https://infonet.fr/actualite/levees-de-fonds/october-levee-de-fonds/']"
https://infonet.fr/actualite/levees-de-fonds/tour-de-table-3-millions-euros-yumgo/,"['https://infonet.fr/actualite/levees-de-fonds/waat-raise-impact-financement/', 'https://infonet.fr/actualite/levees-de-fonds/levee-de-fonds-wiink/', 'https://infonet.fr/actualite/levees-de-fonds/tour-de-table-susu/', 'https://infonet.fr/actualite/levees-de-fonds/campagne-financement-pour-beebs/', 'https://infonet.fr/actualite/levees-de-fonds/metavrs-levee-de-fonds/']"
https://infonet.fr/actualite/levees-de-fonds/levee-de-fonds-aplication-exo/,"['https://infonet.fr/actualite/levees-de-fonds/financement-assurtech-wesur/', 'https://infonet.fr/actualite/levees-de-fonds/feel-levee-de-fonds-depression/', 'https://infonet.fr/actualite/levees-de-fonds/shippeo-suivi-marchandises/', 'https://infonet.fr/actualite/entrepreneuriat/prochaine-promotion-osv-startup-program/', 'https://infonet.fr/actualite/levees-de-fonds/redberry-premier-financement/']"
https://infonet.fr/actualite/levees-de-fonds/premier-financement-pour-reforestaction/,"['https://infonet.fr/actualite/levees-de-fonds/financement-tpe-pme-rollingfunds/', 'https://infonet.fr/actualite/levees-de-fonds/nouvelle-licorne-pennylane/', 'https://infonet.fr/actualite/levees-de-fonds/levee-de-fonds-de-10-millions-euro-pour-les-alchimistes/', 'https://infonet.fr/actualite/levees-de-fonds/financement-de-la-startup-verteego/', 'https://infonet.fr/actualite/levees-de-fonds/swish-financement-2023/']"
https://infonet.fr/actualite/focus/analyse-predictive-decision-financiere/,"['https://infonet.fr/actualite/focus/methode-de-recouvrement-efficace/', 'https://infonet.fr/actualite/focus/budget-communication-tout-savoir-pour-reussir/', 'https://infonet.fr/actualite/levees-de-fonds/flowdesk-leve-trente-millions-de-dollards-de-fonds/', 'https://infonet.fr/actualite/focus/getsion-des-credits-augmentation-ventes/', 'https://infonet.fr/actualite/levees-de-fonds/husprey-data-levee-de-fonds/']"
https://infonet.fr/actualite/levees-de-fonds/nectargo-nouveau-financement/,"['https://infonet.fr/actualite/levees-de-fonds/mistral-ai-levee-de-fonds/', 'https://infonet.fr/actualite/levees-de-fonds/shippeo-suivi-marchandises/', 'https://infonet.fr/actualite/levees-de-fonds/campagne-financement-pour-beebs/', 'https://infonet.fr/actualite/levees-de-fonds/purenat-levee-de-fonds/', 'https://infonet.fr/actualite/entrepreneuriat/candidatures-redstart-ouvertes/']"
